FECHA,Accidentes,Capped
2016-09-03,137,137.0
2016-09-04,70,70.0
2016-09-05,125,125.0
2016-09-06,127,127.0
2016-09-07,117,117.0
2016-09-08,139,139.0
2016-09-09,106,106.0
2016-09-10,130,130.0
2016-09-11,66,66.0
2016-09-12,148,148.0
2016-09-13,114,114.0
2016-09-14,124,124.0
2016-09-15,153,153.0
2016-09-16,148,148.0
2016-09-17,134,134.0
2016-09-18,71,71.0
2016-09-19,118,118.0
2016-09-20,132,132.0
2016-09-21,139,139.0
2016-09-22,138,138.0
2016-09-23,150,150.0
2016-09-24,122,122.0
2016-09-25,81,81.0
2016-09-26,130,130.0
2016-09-27,129,129.0
2016-09-28,133,133.0
2016-09-29,122,122.0
2016-09-30,110,110.0
2016-10-01,114,114.0
2016-10-02,93,93.0
2016-10-03,141,141.0
2016-10-04,132,132.0
2016-10-05,124,124.0
2016-10-06,146,146.0
2016-10-07,177,177.0
2016-10-08,128,128.0
2016-10-09,93,93.0
2016-10-10,133,133.0
2016-10-11,125,125.0
2016-10-12,144,144.0
2016-10-13,110,110.0
2016-10-14,133,133.0
2016-10-15,109,109.0
2016-10-16,73,73.0
2016-10-17,66,66.0
2016-10-18,158,158.0
2016-10-19,124,124.0
2016-10-20,115,115.0
2016-10-21,148,148.0
2016-10-22,110,110.0
2016-10-23,91,91.0
2016-10-24,125,125.0
2016-10-25,133,133.0
2016-10-26,107,107.0
2016-10-27,148,148.0
2016-10-28,150,150.0
2016-10-29,126,126.0
2016-10-30,77,77.0
2016-10-31,123,123.0
2016-11-01,137,137.0
2016-11-02,125,125.0
2016-11-03,142,142.0
2016-11-04,135,135.0
2016-11-05,112,112.0
2016-11-06,82,82.0
2016-11-07,67,67.0
2016-11-08,125,125.0
2016-11-09,114,114.0
2016-11-10,118,118.0
2016-11-11,129,129.0
2016-11-12,123,123.0
2016-11-13,74,74.0
2016-11-14,62,62.0
2016-11-15,151,151.0
2016-11-16,114,114.0
2016-11-17,141,141.0
2016-11-18,143,143.0
2016-11-19,121,121.0
2016-11-20,65,65.0
2016-11-21,162,162.0
2016-11-22,112,112.0
2016-11-23,134,134.0
2016-11-24,121,121.0
2016-11-25,150,150.0
2016-11-26,112,112.0
2016-11-27,79,79.0
2016-11-28,118,118.0
2016-11-29,104,104.0
2016-11-30,122,122.0
2016-12-01,87,87.0
2016-12-02,132,132.0
2016-12-03,106,106.0
2016-12-04,81,81.0
2016-12-05,137,137.0
2016-12-06,117,117.0
2016-12-07,123,123.0
2016-12-08,63,63.0
2016-12-09,112,112.0
2016-12-10,120,120.0
2016-12-11,79,79.0
2016-12-12,115,115.0
2016-12-13,114,114.0
2016-12-14,108,108.0
2016-12-15,126,126.0
2016-12-16,152,152.0
2016-12-17,137,137.0
2016-12-18,86,86.0
2016-12-19,126,126.0
2016-12-20,144,144.0
2016-12-21,154,154.0
2016-12-22,118,118.0
2016-12-23,128,128.0
2016-12-24,87,87.0
2016-12-25,62,62.0
2016-12-26,95,95.0
2016-12-27,102,102.0
2016-12-28,113,113.0
2016-12-29,95,95.0
2016-12-30,119,119.0
2016-12-31,79,79.0
2017-01-01,72,72.0
2017-01-02,82,82.0
2017-01-03,82,82.0
2017-01-04,73,73.0
2017-01-05,100,100.0
2017-01-06,71,71.0
2017-01-07,82,82.0
2017-01-08,50,50.0
2017-01-09,47,47.5
2017-01-10,93,93.0
2017-01-11,111,111.0
2017-01-12,87,87.0
2017-01-13,128,128.0
2017-01-14,104,104.0
2017-01-15,79,79.0
2017-01-16,156,156.0
2017-01-17,113,113.0
2017-01-18,108,108.0
2017-01-19,128,128.0
2017-01-20,123,123.0
2017-01-21,99,99.0
2017-01-22,70,70.0
2017-01-23,121,121.0
2017-01-24,132,132.0
2017-01-25,89,89.0
2017-01-26,121,121.0
2017-01-27,154,154.0
2017-01-28,98,98.0
2017-01-29,63,63.0
2017-01-30,112,112.0
2017-01-31,136,136.0
2017-02-01,109,109.0
2017-02-02,128,128.0
2017-02-03,137,137.0
2017-02-04,115,115.0
2017-02-05,91,91.0
2017-02-06,121,121.0
2017-02-07,145,145.0
2017-02-08,132,132.0
2017-02-09,120,120.0
2017-02-10,148,148.0
2017-02-11,100,100.0
2017-02-12,66,66.0
2017-02-13,96,96.0
2017-02-14,131,131.0
2017-02-15,118,118.0
2017-02-16,128,128.0
2017-02-17,124,124.0
2017-02-18,132,132.0
2017-02-19,67,67.0
2017-02-20,147,147.0
2017-02-21,150,150.0
2017-02-22,155,155.0
2017-02-23,135,135.0
2017-02-24,144,144.0
2017-02-25,132,132.0
2017-02-26,74,74.0
2017-02-27,126,126.0
2017-02-28,132,132.0
2017-03-01,125,125.0
2017-03-02,104,104.0
2017-03-03,105,105.0
2017-03-04,135,135.0
2017-03-05,70,70.0
2017-03-06,106,106.0
2017-03-07,138,138.0
2017-03-08,162,162.0
2017-03-09,136,136.0
2017-03-10,125,125.0
2017-03-11,117,117.0
2017-03-12,64,64.0
2017-03-13,108,108.0
2017-03-14,139,139.0
2017-03-15,122,122.0
2017-03-16,127,127.0
2017-03-17,122,122.0
2017-03-18,102,102.0
2017-03-19,68,68.0
2017-03-20,62,62.0
2017-03-21,138,138.0
2017-03-22,118,118.0
2017-03-23,80,80.0
2017-03-24,122,122.0
2017-03-25,96,96.0
2017-03-26,87,87.0
2017-03-27,106,106.0
2017-03-28,122,122.0
2017-03-29,125,125.0
2017-03-30,150,150.0
2017-03-31,141,141.0
2017-04-01,140,140.0
2017-04-02,63,63.0
2017-04-03,149,149.0
2017-04-04,121,121.0
2017-04-05,112,112.0
2017-04-06,130,130.0
2017-04-07,149,149.0
2017-04-08,108,108.0
2017-04-09,63,63.0
2017-04-10,128,128.0
2017-04-11,98,98.0
2017-04-12,147,147.0
2017-04-13,51,51.0
2017-04-14,41,47.5
2017-04-15,71,71.0
2017-04-16,52,52.0
2017-04-17,103,103.0
2017-04-18,135,135.0
2017-04-19,104,104.0
2017-04-20,127,127.0
2017-04-21,89,89.0
2017-04-22,108,108.0
2017-04-23,76,76.0
2017-04-24,126,126.0
2017-04-25,138,138.0
2017-04-26,159,159.0
2017-04-27,113,113.0
2017-04-28,145,145.0
2017-04-29,119,119.0
2017-04-30,60,60.0
2017-05-01,81,81.0
2017-05-02,159,159.0
2017-05-03,120,120.0
2017-05-04,118,118.0
2017-05-05,135,135.0
2017-05-06,129,129.0
2017-05-07,55,55.0
2017-05-08,131,131.0
2017-05-09,122,122.0
2017-05-10,117,117.0
2017-05-11,115,115.0
2017-05-12,136,136.0
2017-05-13,110,110.0
2017-05-14,97,97.0
2017-05-15,141,141.0
2017-05-16,116,116.0
2017-05-17,119,119.0
2017-05-18,123,123.0
2017-05-19,142,142.0
2017-05-20,92,92.0
2017-05-21,73,73.0
2017-05-22,126,126.0
2017-05-23,132,132.0
2017-05-24,113,113.0
2017-05-25,111,111.0
2017-05-26,150,150.0
2017-05-27,100,100.0
2017-05-28,78,78.0
2017-05-29,82,82.0
2017-05-30,131,131.0
2017-05-31,140,140.0
2017-06-01,127,127.0
2017-06-02,126,126.0
2017-06-03,128,128.0
2017-06-04,66,66.0
2017-06-05,103,103.0
2017-06-06,122,122.0
2017-06-07,150,150.0
2017-06-08,112,112.0
